rep,plate,well,treatment,end_status_long,end_status,time_to_event,remaining_pollen,prewinter_cocoon_weight,days_to_def,def_to_cocoon,larva_stage,larva_nest,larva_number
1a7,Plate1,a7,LbA,coccoon,1,26,0,0.0834,5,21,egg,24,6
1a9,Plate1,a9,C,coccoon,1,19,0,0.059,4,15,larva,24,2
1c1,Plate1,c1,Lb,coccoon,1,23,0,0.0722,4,19,larva,21,4
1c7,Plate1,c7,A,coccoon,1,23,0,0.0786,4,19,egg no pedestal,21,8
1c9,Plate1,c9,LbA,coccoon,1,23,0,0.073,4,19,larva,21,6
1c11,Plate1,c11,LbA,coccoon,1,34,1,0.0773,7,27,egg,16,9
1e3,Plate1,e3,Lb,coccoon,1,23,0,0.0818,4,19,larva,16,5
1e9,Plate1,e9,HbA,coccoon,1,34,0,0.0881,5,29,egg,16,7
1e11,Plate1,e11,Hb,coccoon,1,29,2,0.0479,4,25,larva,16,2
1g5,Plate1,g5,Lb,coccoon,1,23,0,0.0833,4,19,larva,11,4
1g7,Plate1,g7,LbA,coccoon,1,26,0,0.0884,4,22,larva,13,4
1g9,Plate1,g9,C,coccoon,1,26,0,0.0784,4,22,larva,11,5
2a1,Plate2,a1,HbA,coccoon,1,29,0,0.077,4,25,larva,39,4
2a3,Plate2,a3,HbA,dead,2,34,,,4,,larva,38,5
2a5,Plate2,a5,LbA,coccoon,1,26,0,0.0945,4,22,larva,39,3
2a7,Plate2,a7,A,coccoon,1,34,2,0.0506,4,30,larva no pesdestal,39,5
2a9,Plate2,a9,HbA,coccoon,1,29,2,0.0273,4,25,larva,38,4
2a11,Plate2,a11,Hb,dead,2,34,,,5,,egg no pedestal,38,3
2c1,Plate2,c1,Lb,coccoon,1,34,2,0.07,10,24,egg no pedestal,38,6
2c3,Plate2,c3,C,removed_dead,,,,,,0,egg no pedestal,33,3
2c5,Plate2,c5,Hb,coccoon,1,34,2,0.0586,6,28,egg no pedestal,33,5
2c7,Plate2,c7,C,dead,2,13,,,9,,egg no pedestal,33,6
2c9,Plate2,c9,LbA,coccoon,1,26,1,0.08,5,21,egg,36,5
2c11,Plate2,c11,LbA,coccoon,1,26,1,0.0836,5,21,egg,33,4
2e1,Plate2,e1,A,coccoon,1,26,2,0.062,4,22,larva,34,5
2e3,Plate2,e3,Hb,coccoon,1,23,2,0.0616,3,20,larva,36,3
2e5,Plate2,e5,Hb,coccoon,1,26,1,0.0717,3,23,larva,34,4
2e7,Plate2,e7,C,coccoon,1,26,0,0.0918,4,22,egg,34,6
2e9,Plate2,e9,HbA,coccoon,1,34,2,0.0516,4,30,larva,36,4
2e11,Plate2,e11,Lb,coccoon,1,29,0,0.0743,5,24,egg no pedestal,32,1
2g1,Plate2,g1,A,coccoon,1,23,0,0.0841,3,20,larva,30,2
2g3,Plate2,g3,Lb,coccoon,1,34,2,0.0544,7,27,larva no pesdestal,31,2
2g5,Plate2,g5,LbA,coccoon,1,26,0,0.0693,6,20,egg no pedestal,31,3
2g7,Plate2,g7,Lb,coccoon,1,19,0,0.0825,4,15,larva,30,1
2g9,Plate2,g9,A,coccoon,1,19,0,0.0823,4,15,larva,3,2
2g11,Plate2,g11,C,coccoon,1,26,0,0.0854,5,21,larva ,1,8
3a1,Plate3,a1,Hb,coccoon,1,23,3,0.0212,4,19,larva,1,7
3a3,Plate3,a3,LbA,coccoon,1,26,0,0.0815,4,22,larva,1,6
3a5,Plate3,a5,LbA,coccoon,1,23,0,0.067,3,20,larva,1,5
3a7,Plate3,a7,HbA,coccoon,1,26,3,0.0323,3,23,larva,1,4
3a9,Plate3,a9,Hb,coccoon,1,29,1,0.076,4,25,egg no pedestal,31,1
3a11,Plate3,a11,A,coccoon,1,29,1,0.0768,5,24,egg no pedestal,32,3
3c1,Plate3,c1,HbA,coccoon,1,34,0,0.0836,4,30,egg no pedestal,32,2
3c3,Plate3,c3,Hb,coccoon,1,29,2,0.068,5,24,egg no pedestal,37,1
3c5,Plate3,c5,C,coccoon,1,26,0,0.0835,4,22,larva,37,2
3c7,Plate3,c7,HbA,dead,2,9,,,5,,egg no pedestal,35,3
3c9,Plate3,c9,Lb,coccoon,1,26,0,0.0757,5,21,egg no pedestal,31,4
3c11,Plate3,c11,A,coccoon,1,26,0,0.0823,5,21,egg,32,4
3e1,Plate3,e1,LbA,removed_dead,,,,,,,"larvae, fell off pedestal",35,1
3e3,Plate3,e3,A,coccoon,1,23,0,0.0854,3,20,larva,35,2
3e5,Plate3,e5,Lb,coccoon,1,26,0,0.0835,5,21,egg no pedestal,18,6
3e7,Plate3,e7,Lb,coccoon,1,23,0,0.0819,3,20,larva,17,2
3e9,Plate3,e9,C,coccoon,1,23,0,0.0794,3,20,larva,17,3
3e11,Plate3,e11,Hb,coccoon,1,34,1,0.0725,5,29,egg no pedestal,18,5
3g1,Plate3,g1,C,coccoon,1,29,1,0.0797,4,25,larva,18,3
3g3,Plate3,g3,Lb,coccoon,1,29,0,0.0867,6,23,egg,18,8
3g5,Plate3,g5,LbA,coccoon,1,29,0,0.0797,5,24,egg,18,7
3g7,Plate3,g7,HbA,coccoon,1,26,0,0.0831,4,22,larva,18,4
3g9,Plate3,g9,C,coccoon,1,29,0,0.0825,3,26,larva,18,2
3g11,Plate3,g11,A,coccoon,1,23,0,0.0829,3,20,larva,2,4
4a1,Plate4,a1,LbA,coccoon,1,23,0,0.066,3,20,larva,8,5
4a3,Plate4,a3,A,coccoon,1,23,0,0.0775,3,20,larva,8,3
4a5,Plate4,a5,C,coccoon,1,23,0,0.0807,3,20,larva,8,4
4a7,Plate4,a7,Lb,coccoon,1,23,0,0.0858,2,21,larva,4,1
4a9,Plate4,a9,C,coccoon,1,23,2,0.0618,3,20,larva,4,2
4a11,Plate4,a11,HbA,coccoon,1,26,3,0.0271,3,23,larva,26,5
4c1,Plate4,c1,Lb,coccoon,1,26,0,0.0845,4,22,larva,27,3
4c3,Plate4,c3,HbA,coccoon,1,29,1,0.0701,4,25,egg,26,6
4c5,Plate4,c5,Lb,coccoon,1,26,0,0.0655,5,21,larva,25,4
